Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Account holder name""), ""Sherlock"")",Chrome 122.0.0.0,,,27-02-2024 15:20:02,27-02-2024 15:20:03,1.033s,PASSED
"setText(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Account number""), ""5896478963245187"")",Chrome 122.0.0.0,,,27-02-2024 15:20:03,27-02-2024 15:20:04,0.603s,PASSED
"setText(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Account IFSC code""), ""SBIN0000800"")",Chrome 122.0.0.0,,,27-02-2024 15:20:04,27-02-2024 15:20:04,0.553s,PASSED
"click(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Withdraw Submit button""))",Chrome 122.0.0.0,,,27-02-2024 15:20:04,27-02-2024 15:20:04,0.285s,PASSED
"verifyElementText(findTestObject(""My Account_Payment/Withdraw/Insufficient error message/Insufficient Funds""), ""Insufficient Funds"")",Chrome 122.0.0.0,,,27-02-2024 15:20:04,27-02-2024 15:20:05,0.777s,PASSED
delay(2),Chrome 122.0.0.0,,,27-02-2024 15:20:05,27-02-2024 15:20:07,2.013s,PASSED
takeFullPageScreenshot(),Chrome 122.0.0.0,,,27-02-2024 15:20:07,27-02-2024 15:20:08,0.587s,PASSED
,,,,,,,
Test Cases/My Account/Payment_Transfer Funds successful,Chrome 122.0.0.0,"Expected Result:To check whether the user is able to transfer money using ""Transfer Funds""
Actual Result:The user is able to transfer money using ""Transfer Funds""",My Account,27-02-2024 15:20:08,27-02-2024 15:21:00,52.018s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,27-02-2024 15:20:08,27-02-2024 15:20:09,1.161s,PASSED
"navigateToUrl(""https://haboom.com/"")",Chrome 122.0.0.0,,,27-02-2024 15:20:09,27-02-2024 15:20:16,7.282s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Username""), ""Sherlock"")",Chrome 122.0.0.0,,,27-02-2024 15:20:16,27-02-2024 15:20:20,3.177s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Password""), ""Eternals@123"")",Chrome 122.0.0.0,,,27-02-2024 15:20:20,27-02-2024 15:20:22,2.600s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/Login Button""))",Chrome 122.0.0.0,,,27-02-2024 15:20:22,27-02-2024 15:20:23,1.256s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Account""))",Chrome 122.0.0.0,,,27-02-2024 15:20:23,27-02-2024 15:20:32,8.421s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Haboom Account""))",Chrome 122.0.0.0,,,27-02-2024 15:20:32,27-02-2024 15:20:45,13.513s,PASSED
"click(findTestObject(""My Account_Payment/Deposit Bank Transfer/Bank transfer page/Payments""))",Chrome 122.0.0.0,,,27-02-2024 15:20:45,27-02-2024 15:20:46,0.815s,PASSED
"click(findTestObject(""My Account_Payment/Transfer Funds/Transfer funds Page/Transfer Funds""))",Chrome 122.0.0.0,,,27-02-2024 15:20:46,27-02-2024 15:20:48,1.647s,PASSED
"click(findTestObject(""My Account_Payment/Transfer Funds/Transfer funds Page/transfer amount""))",Chrome 122.0.0.0,,,27-02-2024 15:20:48,27-02-2024 15:20:48,0.550s,PASSED
"setText(findTestObject(""My Account_Payment/Transfer Funds/Transfer funds Page/transfer amount""), ""100"")",Chrome 122.0.0.0,,,27-02-2024 15:20:48,27-02-2024 15:20:49,1.031s,PASSED
"click(findTestObject(""My Account_Payment/Transfer Funds/Transfer page details/From Transfer amount""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,27-02-2024 15:20:49,27-02-2024 15:20:50,0.342s,PASSED
"setText(findTestObject(""My Account_Payment/Transfer Funds/Transfer page details/To player""), ""6366763704"")",Chrome 122.0.0.0,,,27-02-2024 15:20:50,27-02-2024 15:20:50,0.575s,PASSED
"click(findTestObject(""My Account_Payment/Transfer Funds/Transfer page details/Transfer button""))",Chrome 122.0.0.0,,,27-02-2024 15:20:50,27-02-2024 15:20:51,1.159s,PASSED
"setText(findTestObject(""My Account_Payment/Transfer Funds/Transfer page details/Transfer Password""), ""Eternals@123"")",Chrome 122.0.0.0,,,27-02-2024 15:20:51,27-02-2024 15:20:52,0.740s,PASSED
"click(findTestObject(""My Account_Payment/Transfer Funds/Transfer page details/Verify and Transfer button""))",Chrome 122.0.0.0,,,27-02-2024 15:20:52,27-02-2024 15:20:54,1.884s,PASSED
"click(findTestObject(""My Account_Payment/Transaction history page/Transaction page/Betting Activity""))",Chrome 122.0.0.0,,,27-02-2024 15:20:54,27-02-2024 15:20:55,0.845s,PASSED
"click(findTestObject(""My Account_Payment/Transaction history page/Transaction page/Transaction History""))",Chrome 122.0.0.0,,,27-02-2024 15:20:55,27-02-2024 15:20:56,0.722s,PASSED
"click(findTestObject(""My Account_Payment/Transaction history page/Transaction page/Transaction History (Options)""))",Chrome 122.0.0.0,,,27-02-2024 15:20:56,27-02-2024 15:20:56,0.742s,PASSED
"click(findTestObject(""My Account_Payment/Transaction history page/Transaction page/Transactions filter""))",Chrome 122.0.0.0,,,27-02-2024 15:20:56,27-02-2024 15:20:57,0.297s,PASSED
"click(findTestObject(""My Account_Payment/Transaction history page/Transaction page/Betting Internal Withdrawal""))",Chrome 122.0.0.0,,,27-02-2024 15:20:57,27-02-2024 15:20:57,0.392s,PASSED
delay(2),Chrome 122.0.0.0,,,27-02-2024 15:20:57,27-02-2024 15:20:59,2.022s,PASSED
takeFullPageScreenshot(),Chrome 122.0.0.0,,,27-02-2024 15:20:59,27-02-2024 15:21:00,0.749s,PASSED
